"filename", "language", "Markdown", "HTML", "JSON", "JavaScript", "XML", "Vue", "comment", "blank", "total"
"c:\Users\HP\Desktop\shop-admin\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\HP\Desktop\shop-admin\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\HP\Desktop\shop-admin\package-lock.json", "JSON", 0, 0, 2095, 0, 0, 0, 0, 1, 2096
"c:\Users\HP\Desktop\shop-admin\package.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 1, 23
"c:\Users\HP\Desktop\shop-admin\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\HP\Desktop\shop-admin\src\App.vue", "Vue", 0, 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\HP\Desktop\shop-admin\src\assets\vue.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\HP\Desktop\shop-admin\src\main.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\HP\Desktop\shop-admin\src\router\index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\HP\Desktop\shop-admin\vite.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 1, 0, 7
"Total", "-", 10, 13, 2117, 16, 2, 9, 1, 15, 2183